planet_name,status
Aaamazzara,Habitable
Acamar_III,Habitable
Achrady_VII,Habitable
Adarak_Prime,Habitable
Adelphous_IV,Intact
Adigeon_Prime,Habitable
Agaron,Habitable
Ahmedeen,Intact
Aia,Devastated
Ajilon_Prime,Habitable
Akritiri,Habitable
Alastria,Intact
Alcor_IV,Habitable
Aldea,Habitable
Aldebaran_III,Habitable
Aldebaron_III,Habitable
Alderaan,Habitable
Alfa_177,Habitable
Algeron_IV,Intact
Algol_I,Habitable
Alondra,Destroyed
Alpha_I,Habitable
Alpha_III,Habitable
Alpha_VII,Habitable
Alpha_Balder_IV,Habitable
Alpha_Braga_IV,Habitable
Alpha_Braga_VII,Habitable
Alpha_Carinae_II,Habitable
Alpha_Carinae_V,Habitable
Alpha_Centauri_(planet),Habitable
Alpha_Cygnus_IX,Habitable
Alpha_Delphi_IX,Habitable
Alpha_Eridani_II,Habitable
Alpha_Laputa_IV,Habitable
Alpha_Majoris_I,Habitable
Alpha_Omicron_VII,Intact
Alpha_Onias_III,Habitable
Alshain_IV,Habitable
Altair_III,Intact
Altair_IV,Habitable
Altair_VI,Habitable
Altamid,Habitable
Alture_VII,Habitable
Amerind,Habitable
Amleth_Prime,Habitable
Andevian_II,Intact
Andoria_Prime,Habitable
Andros_III,Habitable
Angel_I,Habitable
Angosia_III,Habitable
Antede_III,Habitable
Antica,Habitable
Antica_IV,Intact
Antide_Prime,Intact
Antos_IV,Habitable
Apergos,Habitable
AR-558,Intact
Arakis_Prime,Intact
Archer_IV,Habitable
Archer's_Planet,Intact
Ardana,Habitable
Areolus,Habitable
Argelius_II,Habitable
Argeth,Habitable
Argo_(planet),Habitable
Argona_II,Intact
Argratha,Habitable
Argus_X,Habitable
Ariannus,Habitable
Arkaria,Habitable
Arlington_IV,Intact
Arloff_IX,Intact
Armus_IX,Habitable
Arnold's_Planet,Intact
Arret,Uninhabitable
Arret_(negative),Habitable
Arvada_III,Habitable
Aschelan_V,Habitable
Atalia_VII,Habitable
Atbar_Prime,Habitable
Athan_Prime,Intact
Athos_IV,Habitable
Atifs_IV,Habitable
Atlec,Habitable
Atrea_IV,Habitability
'aucdet_IX,Intact
Avenal_VII,Habitable
Axanar_(planet),Habitable
B'Saari_II,Habitable
Ba'ku_(planet),Habitable
Babel,Habitable
Bajor,Habitable
Bajor_I,Intact
Bajor_II,Intact
Bajor_III,Intact
Bajor_IV,Intact
Bajor_V,Intact
Bajor_VI,Intact
Bajor_VII,Intact
Bajor_VIII,Habitable
Bajor_IX,Intact
Bajor_X,Intact
Bajor_XII,Intact
Bajor_XIII,Intact
Bajor_XIV,Intact
Balancar,Habitable
Balkus_9,Habitable
Balosnee_VI,Habitable
Barisa_Prime,Habitable
Barkon_IV,Habitable
Barson_II,Habitable
Barzan_II,Inhabited
Bayard's_Planet,Intact
Beltane_IX,Habitable
Benecia,Habitable
Benev_Selec,Habitable
Benthos_IV,Habitable
Benzar,Habitable
Berengaria_VII,Habitable
Bergman's_Planet,Intact
Bernay_Prime,Intact
Bersallis_III,Intact
Beta_III,Habitable
Beta_V,Intact
Beta_VI,Habitable
Beta_XII-A,Habitable
Beta_Agni_II,Habitable
Beta_Antares_IV,Habitable
Beta_Aquilae_II,Habitable
Beta_Berman_I,Habitable
Beta_Canopus,Habitable
Beta_Eminiar_VII,Habitable
Beta_Penthe_I,Intact
Beta_Penthe_II,Intact
Beta_Penthe_III,Intact
Beta_Penthe_IV,Intact
Beta_Penthe_V,Intact
Beta_Penthe_VII,Intact
Beta_Tottoro_IV,Habitable
Beta_Ursae_Minor_II,Habitable
Beta'Elan_Minor,Habitable
Betazed,Habitable
Beth_Delta_I,Habitable
Bezride,Intact
Bilana_III,Habitable
Binar_III,Habitable
Blue_Horizon,Habitable
Bokara_VI,Habitable
Bolarus_IX,Habitable
Bootes_III,Habitable
Bopak_III,Habitable
Boraal_II,Uninhabitable
Boradis_III,Habitable
Boranis_III,Habitable
Boreal_III,Habitable
Boreth,Habitable
Bozel_Prime,Habitable
Bracas_V,Habitable
Bragu's_homeworld,Habitable
Braslota_I,Intact
Braslota_II,Intact
Brax_(planet),Habitable
Breen_(planet),Habitable
Brekka,Habitable
Brentalia,Habitable
Breton's_Planet,Intact
Bringloid_V,Devastated
Brookshire's_Planet,Intact
Browder_IV,Intact
Bryma,Habitable
Buckley's_Planet,Intact
Burala_Prime,Habitable
Bynaus,Habitable
Caere,Habitable
Cajitar_IV,Habitable
Cal_Rae,Intact
Calder_II,Habitable
Caldik_Prime,Habitable
Caldonia,Habitable
Caldos,Habitable
Caleb_IV,Habitable
Callinon_VII,Intact
Calondia_IV,Habitable
Camor_V,Habitable
Campor_III,Habitable
Camus_II,Intact
Cancri_IV,Habitable
Carinae_Delta_V,Intact
Canopus_III,Habitable
Canopus_Major,Intact
Canopus_Planet,Habitable
Capella_IV,Habitable
Cardassia_Prime,Habitable
Cardassia_I,Intact
Cardassia_III,Habitable
Cardassia_IV,Habitable
Cardassia_V,Habitable
Carema_III,Intact
Carpi,Habitable
Castal_I,Intact
Catulla,Habitable
Celes_II,Habitable
Celtris_III,Habitable
Centauri_IV,Intact
Centauri_VII,Habitable
Centre_Minor,Intact
Cerberus,Habitable
Cerberus_II,Habitable
Cestus_III,Habitable
Ceti_Alpha_IV,Intact
Ceti_Alpha_V,Intact
Ceti_Alpha_VI,Destroyed
Chalna,Habitable
Chaltok_IV,Habitable
Chandra_V,Habitable
Chaya_VII,Habitable
Cheron,Intact
Cirrus_IV,Habitable
The_Colony,Habitable
Coltar_IV,Habitable
Coopersworld,Habitable
Coppelius,Habitable
Cor_Caroli_V,Habitable
Coridan,Habitable
Corinth_IV,Habitable
Crivo,Habitable
Cybulski's_Planet,Intact
Cygnet_XIV,Habitable
Cygnia_Minor,Habitable
Cytrax,Intact
Dakala,Habitable
Daled_V,Intact
Dalvos_Prime,Habitable
Dannus_I,Intact
Dannus_II,Intact
Dannus_III,Intact
Dannus_IV,Intact
Dannus_V,Habitable
Dannus_VI,Intact
Dansk,Habitable
Danula_II,Habitable
Daran_V,Habitable
Davlos_III,Habitable
Dayos_IV,Habitable
Decos_Prime,Habitable
Dedestris,Habitable
Deinonychus_VII,Intact
Dekendi_III,Habitable
Delb_II,Habitable
Delinia_II,Habitable
Delios_VII,Habitable
Delos_IV,Habitable
Delphi_Ardu_IV,Habitable
Delta_IV,Habitable
Delta_IX,Habitable
Delta_Scorpii_VII,Intact
Delta_Theta_III,Habitable
Delta_Vega,Habitable
Delta_Vega_(Vulcan_system),Habitable
Denaxi,Habitable
Deneb_II,Habitable
Deneb_IV,Habitable
Deneb_V,Habitable
Deneb_XX,Intact
Deneva,Habitable
Denius_III,Intact
Denkir_IV,Habitable
Denobula,Habitable
Deriben_V,Habitable
Dessica_II,Habitable
Detria_II,Destroyed
Detria_VI,Destroyed
Detrion_9,Intact
Devidia_II,Habitable
Devos_II,Habitable
Dimorus,Habitable
Doctari_Alpha,Habitable
Donatu_V,Habitable
